tave,tmin,tmax,heat_index,pr,wind_speed,rh,solar_rad,uv_rad,dentist_nearest,doctors_nearest,hospital_nearest,optician_nearest,pharmacy_nearest,pop_count_total,pop_density_mean,dentist_count,doctors_count,hospital_count,optician_count,pharmacy_count,case_total
28.41,26.07,30.73,32.80,3.16,0.59,78.73,237.30,28.51,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,2.00,0.00
28.41,25.98,31.43,32.70,0.00,0.61,78.20,241.93,29.06,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,6.00,2.00,12.00,2.00,36.00,0.00
28.64,26.51,31.35,33.75,8.39,2.75,80.89,215.15,27.25,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,22.00
28.03,25.90,30.40,32.62,9.91,2.12,83.51,219.36,26.92,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,13.00
28.33,26.18,31.10,33.07,8.06,2.69,81.52,216.95,27.42,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,14.00
28.77,26.58,31.76,34.26,8.06,0.87,81.76,210.78,26.40,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,14.00
28.20,25.98,30.84,33.13,8.65,0.72,83.56,207.32,25.60,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,13.00
28.50,26.28,31.58,33.59,6.62,0.84,82.18,213.96,26.69,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,32.00
28.29,26.75,30.52,33.25,17.19,5.26,82.96,193.81,24.53,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,19.00
27.60,25.95,29.74,31.69,19.30,4.13,84.93,194.91,24.39,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,18.00
27.99,26.44,30.28,32.51,18.64,5.07,83.40,195.82,24.69,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,19.00
28.04,25.94,30.98,32.22,12.35,1.67,81.61,215.45,27.40,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,19.00
27.17,25.09,29.85,30.41,8.32,1.56,83.82,212.04,26.76,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,15.00
27.77,25.62,30.80,31.61,12.67,1.63,81.93,217.60,27.57,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,41.00
27.96,25.76,30.50,32.16,4.48,1.07,81.54,134.82,19.02,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,1.00,0.00,2.00,1.00,18.00,33.00
26.98,24.20,29.91,30.02,0.00,0.60,81.58,132.36,19.01,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,1.00,18.00
27.73,25.41,30.40,31.67,0.00,1.07,82.07,140.25,19.47,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,3.00,1.00,6.00,1.00,18.00,34.00
28.63,26.36,31.76,33.42,9.84,0.92,79.49,229.05,27.53,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,6.00,0.00,12.00,6.00,108.00,0.00
27.93,25.32,30.93,32.11,9.20,0.57,81.95,226.81,27.47,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,6.00,0.00
28.39,26.08,31.63,32.84,12.27,0.92,79.77,231.38,27.70,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,18.00,6.00,36.00,6.00,108.00,0.00
28.06,25.98,31.05,32.55,17.17,1.63,82.75,190.74,24.02,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,25.00
27.63,25.34,30.67,31.73,18.96,1.23,84.67,191.63,23.86,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,16.00
27.80,25.71,30.95,31.96,15.13,1.61,83.15,193.74,24.32,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,59.00
28.47,26.05,31.91,32.85,2.77,0.54,78.88,229.08,28.37,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,26.00
28.09,25.36,31.62,31.95,4.66,0.49,79.41,232.55,28.84,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,21.00
28.23,25.76,31.79,32.31,2.38,0.57,79.30,230.15,28.37,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,56.00
28.46,26.27,31.14,33.43,5.25,2.26,81.65,206.60,25.70,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,35.00
28.14,25.96,30.78,32.83,6.05,1.26,83.24,209.64,26.37,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,15.00
28.18,25.97,30.97,32.78,8.86,2.22,82.15,208.07,25.75,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,59.00
28.26,26.00,31.08,32.89,5.98,2.36,81.61,183.20,22.01,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,3.00,0.00,6.00,3.00,54.00,33.00
27.67,25.45,30.43,31.63,6.56,2.16,83.74,171.00,20.90,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,3.00,18.00
28.01,25.72,30.97,32.32,4.86,2.32,82.17,186.94,22.34,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,9.00,3.00,18.00,3.00,54.00,70.00
